example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,0,C,,,,"S1 states that Sam only gave Mary apples, meaning he did not give Mary bananas. S2 states that Sam also gave Mary bananas, which contradicts S1.",,,1,POS,2,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,0,B,,,,"S1 states that Sam only gave Sue apples, meaning he did not give Rob apples. S2 states that Sam didn't give Rob apples, which is consistent with S1 but not entailed.",,,1,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,0,C,,,,"S1 states that Sam only gave Bill bananas, meaning he did not give Bill grapes. S2 states that Sam also gave Bill grapes, which contradicts S1.",,,1,POS,2,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,0,B,,,,"S1 states that Sam only gave Rob grapes, meaning he did not give Rob apples. S2 states that Sam didn't give Rob apples, which is consistent with S1 but not entailed.",,,2,NEG,2,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,1,C,,,,"S1 states that Sam only gave Sue grapes, meaning he did not give Tom grapes. S2 states that Sam also gave Tom grapes, which contradicts S1.",,,1,POS,1,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,0,B,,,,"S1 states that Sam only gave Ellen grapes, meaning he did not give Rob grapes. S2 states that Sam didn't give Rob grapes, which is consistent with S1 but not entailed.",,,1,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,C,,,,"S1 states that Sam only gave Mary grapes, meaning he did not give Mary bananas. S2 states that Sam also gave Mary bananas, which contradicts S1.",,,1,POS,2,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,0,B,,,,"S1 states that Sam only gave Sue apples, meaning he did not give Bill apples. S2 states that Sam didn't give Bill apples, which is consistent with S1 but not entailed.",,,1,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 states that Sam only gave Rob oranges, which means he didn't give oranges to anyone else. S2 states that Sam didn't give Tom oranges, which is consistent with S1.",,,1,NEG,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,1,A,,,,"S1 states that Sam only gave Sue grapes, which means he didn't give grapes to anyone else. S2 states that Sam didn't give Bill grapes, which is consistent with S1.",,,1,NEG,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,1,A,,,,"S1 states that Sam only gave Sue oranges, which means he didn't give oranges to anyone else. S2 states that Sam didn't give Mary oranges, which is consistent with S1.",,,1,NEG,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,0,A,,,,"S1 states that Sam only gave Ellen bananas, which means he didn't give bananas to anyone else. S2 states that Sam didn't give Ellen grapes, which is consistent with S1 because grapes are not bananas.",,,1,NEG,2,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,0,A,,,,"S1 states that Sam only gave Ellen bananas, which means he didn't give bananas to anyone else. S2 states that Sam didn't give Ellen oranges, which is consistent with S1 because oranges are not bananas.",,,1,NEG,2,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,0,A,,,,"S1 states that Sam only gave Rob grapes, which means he didn't give grapes to anyone else. S2 states that Sam didn't give Rob apples, which is consistent with S1 because apples are not grapes.",,,1,NEG,2,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,0,B,,,,"S1 states that Sam only gave Bill apples, which means he didn't give apples to anyone else. S2 states that Sam also gave Ellen apples, which contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,0,B,,,,"S1 states that Sam only gave Ellen apples, which means he didn't give apples to anyone else. S2 states that Sam also gave Sue apples, which contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,0,B,,,,"S1 states that Sam only gave Ellen oranges, which means he didn't give oranges to anyone else. S2 states that Sam also gave Rob oranges, which contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,0,B,,,,"S1 states that Sam only gave Sue apples, which means he didn't give apples to anyone else. S2 states that Sam also gave Bill apples, which contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,0,A,,,,"S1 states that Sam only gave Bill grapes, meaning he did not give Bill any other fruit. S2 states that Sam also gave Bill apples, which contradicts S1.",,,1,POS,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,0,C,,,,"S1 states that Sam only gave Rob apples, meaning he did not give Rob any other fruit. S2 states that Sam also gave Rob bananas, which contradicts S1.",,,1,POS,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,0,C,,,,"S1 states that Sam only gave Rob grapes, meaning he did not give Rob any other fruit. S2 states that Sam also gave Rob bananas, which contradicts S1.",,,1,POS,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,1,B,,,,"S1 states that Sam only gave Rob oranges, meaning he did not give Rob any other fruit. S2 states that Sam didn't give Ellen oranges, which is independent of what Sam gave Rob.",,,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,1,B,,,,"S1 states that Sam only gave Sue apples, meaning he did not give Sue any other fruit. S2 states that Sam didn't give Rob apples, which is independent of what Sam gave Sue.",,,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,1,B,,,,"S1 states that Sam only gave Tom apples, meaning he did not give Tom any other fruit. S2 states that Sam didn't give Bill apples, which is independent of what Sam gave Tom.",,,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,1,B,,,,"S1 states that Sam only gave Tom bananas, meaning he did not give Tom any other fruit. S2 states that Sam didn't give Sue bananas, which is independent of what Sam gave Tom.",,,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,0,B,,,,"S1 states that Sam only gave Sue apples, meaning he did not give Sue any other fruit. S2 states that Sam didn't give Sue oranges, which is consistent with S1.",,,2,NEG,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,0,B,,,,"S1 states that Sam only gave Sue bananas, meaning he did not give Sue any other fruit. S2 states that Sam didn't give Sue oranges, which is consistent with S1.",,,2,NEG,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,0,B,,,,"S1 states that Sam only gave Sue oranges, meaning he did not give Sue any other fruit. S2 states that Sam didn't give Sue bananas, which is consistent with S1.",,,2,NEG,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
0,0,Sam only gave Ellen BANANAS.,Sam also gave Tom bananas.,B,0,A,,,,"S1 states that Sam only gave bananas to Ellen, meaning he didn't give her anything else. S2 states that Sam also gave bananas to Tom, which is consistent with S1 because it doesn't say he didn't give bananas to Tom.",,,2,POS,1,f13,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave Ellen ORANGES.,Sam also gave Rob oranges.,B,0,A,,,,"S1 states that Sam only gave oranges to Ellen, meaning he didn't give her anything else. S2 states that Sam also gave oranges to Rob, which is consistent with S1 because it doesn't say he didn't give oranges to Rob.",,,2,POS,1,f13,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave Rob BANANAS.,Sam also gave Ellen bananas.,B,0,A,,,,"S1 states that Sam only gave bananas to Rob, meaning he didn't give him anything else. S2 states that Sam also gave bananas to Ellen, which is consistent with S1 because it doesn't say he didn't give bananas to Ellen.",,,2,POS,1,f13,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Tom BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"S1 states that Sam only gave bananas to Tom, meaning he didn't give him anything else. S2 states that Sam also gave bananas to Mary, which is consistent with S1 because it doesn't say he didn't give bananas to Mary.",,,2,POS,1,f13,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Ellen apples.,C,1,C,,,,"S1 states that Sam only gave oranges to Ellen, meaning he didn't give her anything else. S2 states that Sam also gave apples to Ellen, which contradicts S1 because it implies he gave her something other than oranges.",,,2,POS,2,f13,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Rob BANANAS.,Sam also gave Rob oranges.,C,1,C,,,,"S1 states that Sam only gave bananas to Rob, meaning he didn't give him anything else. S2 states that Sam also gave oranges to Rob, which contradicts S1 because it implies he gave him something other than bananas.",,,2,POS,2,f13,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Sue ORANGES.,Sam also gave Sue bananas.,C,1,C,,,,"S1 states that Sam only gave oranges to Sue, meaning he didn't give her anything else. S2 states that Sam also gave bananas to Sue, which contradicts S1 because it implies he gave her something other than oranges.",,,2,POS,2,f13,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Tom APPLES.,Sam also gave Tom bananas.,C,1,C,,,,"S1 states that Sam only gave apples to Tom, meaning he didn't give him anything else. S2 states that Sam also gave bananas to Tom, which contradicts S1 because it implies he gave him something other than apples.",,,2,POS,2,f13,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
